MSA,2000,2010,Number,Percent
"Red Wing, MN","44,127","46,183","2,056",4.7
"Rexburg, ID","39,286","50,778","11,492",29.3
"Richmond, IN","71,097","68,917","-2,180",-3.1
"Richmond-Berea, KY","87,454","99,972","12,518",14.3
"Rio Grande City, TX","53,597","60,968","7,371",13.8
"Riverton, WY","35,804","40,123","4,319",12.1
"Roanoke Rapids, NC","79,456","76,790","-2,666",-3.4
"Rochelle, IL","51,032","53,497","2,465",4.8
"Rockingham, NC","46,564","46,639",75,0.2
"Rock Springs, WY","37,613","43,806","6,193",16.5
"Rolla, MO","39,825","45,156","5,331",13.4
"Roseburg, OR","100,399","107,667","7,268",7.2
"Roswell, NM","61,382","65,645","4,263",6.9
"Russellville, AR","75,608","83,939","8,331",11
"Ruston, LA","42,509","46,735","4,226",9.9
"Rutland, VT","63,400","61,642","-1,758",-2.8
"Safford, AZ","33,489","37,220","3,731",11.1
"St. Marys, GA","43,664","50,513","6,849",15.7
"Salem, OH","112,075","107,841","-4,234",-3.8
"Salina, KS","59,760","61,697","1,937",3.2
"Sandpoint, ID","36,835","40,877","4,042",11
"Sandusky, OH","79,551","77,079","-2,472",-3.1
"Sanford, NC","49,040","57,866","8,826",18
"Sault Ste. Marie, MI","38,543","38,520",-23,-0.1
"Sayre, PA","62,761","62,622",-139,-0.2
"Scottsbluff, NE","39,245","38,971",-274,-0.7
"Scottsboro, AL","53,926","53,227",-699,-1.3
"Searcy, AR","67,165","77,076","9,911",14.8
"Sedalia, MO","39,403","42,201","2,798",7.1
"Selinsgrove, PA","37,546","39,702","2,156",5.7
"Selma, AL","46,365","43,820","-2,545",-5.5
"Seneca, SC","66,215","74,273","8,058",12.2
"Seneca Falls, NY","33,342","35,251","1,909",5.7
"Sevierville, TN","71,170","89,889","18,719",26.3
"Seymour, IN","41,335","42,376","1,041",2.5
"Shawano, WI","45,226","46,181",955,2.1
"Shawnee, OK","65,521","69,442","3,921",6
"Shelby, NC","96,287","98,078","1,791",1.9
"Shelbyville, TN","37,586","45,058","7,472",19.9
"Shelton, WA","49,405","60,699","11,294",22.9
"Sheridan, WY","26,560","29,116","2,556",9.6
"Show Low, AZ","97,470","107,449","9,979",10.2
"Sidney, OH","47,910","49,423","1,513",3.2
"Sikeston, MO","40,422","39,191","-1,231",-3
"Silver City, NM","31,002","29,514","-1,488",-4.8
"Snyder, TX","16,361","16,921",560,3.4
"Somerset, KY","56,217","63,063","6,846",12.2
"Somerset, PA","80,023","77,742","-2,281",-2.9
"Sonora, CA","54,501","55,365",864,1.6
"Spearfish, SD","21,802","24,097","2,295",10.5
"Spencer, IA","17,372","16,667",-705,-4.1
"Spirit Lake, IA","16,424","16,667",243,1.5
"Starkville, MS","42,902","47,671","4,769",11.1
"Statesboro, GA","55,983","70,217","14,234",25.4
"Steamboat Springs, CO","19,690","23,509","3,819",19.4
"Stephenville, TX","33,001","37,890","4,889",14.8
"Sterling, CO","20,504","22,709","2,205",10.8
"Sterling, IL","60,653","58,498","-2,155",-3.6
"Stevens Point, WI","67,182","70,019","2,837",4.2
"Stillwater, OK","68,190","77,350","9,160",13.4
"Storm Lake, IA","20,411","20,260",-151,-0.7
"Sturgis, MI","62,422","61,295","-1,127",-1.8
"Sulphur Springs, TX","31,960","35,161","3,201",10
"Summerville, GA","25,470","26,015",545,2.1
"Summit Park, UT","29,736","36,324","6,588",22.2
"Sunbury, PA","94,556","94,528",-28,0
"Susanville, CA","33,828","34,895","1,067",3.2
"Sweetwater, TX","15,802","15,216",-586,-3.7
"Tahlequah, OK","42,521","46,987","4,466",10.5
"Talladega-Sylacauga, AL","92,523","93,830","1,307",1.4
"Taos, NM","29,979","32,937","2,958",9.9
"Taylorville, IL","35,372","34,800",-572,-1.6
"The Dalles, OR","23,791","25,213","1,422",6
"Thomaston, GA","27,597","27,153",-444,-1.6
"Thomasville, GA","42,737","44,720","1,983",4.6
"Tiffin, OH","58,683","56,745","-1,938",-3.3
"Tifton, GA","38,407","40,118","1,711",4.5
"Toccoa, GA","25,435","26,175",740,2.9
"Torrington, CT","182,193","189,927","7,734",4.2
"Traverse City, MI","131,342","143,372","12,030",9.2
"Troy, AL","29,605","32,899","3,294",11.1
"Truckee-Grass Valley, CA","92,033","98,764","6,731",7.3
"Tullahoma-Manchester, TN","93,024","100,210","7,186",7.7
"Tupelo, MS","125,251","136,268","11,017",8.8
"Twin Falls, ID","82,626","99,604","16,978",20.5
"Ukiah, CA","86,265","87,841","1,576",1.8
"Union City, TN-KY","40,202","38,620","-1,582",-3.9
"Urbana, OH","38,890","40,097","1,207",3.1
"Uvalde, TX","25,926","26,405",479,1.8
"Valley, AL","36,583","34,215","-2,368",-6.5
"Van Wert, OH","29,659","28,744",-915,-3.1
"Vermillion, SD","13,537","13,864",327,2.4
"Vernal, UT","25,224","32,588","7,364",29.2
"Vernon, TX","14,676","13,535","-1,141",-7.8
"Vicksburg, MS","61,475","58,377","-3,098",-5
"Vidalia, GA","34,337","36,346","2,009",5.9
"Vincennes, IN","39,256","38,440",-816,-2.1
"Vineyard Haven, MA","14,987","16,535","1,548",10.3
"Wabash, IN","34,960","32,888","-2,072",-5.9
"Wahpeton, ND-MN","25,136","22,897","-2,239",-8.9
"Wapakoneta, OH","46,611","45,949",-662,-1.4
"Warren, PA","43,863","41,815","-2,048",-4.7
"Warrensburg, MO","48,258","52,595","4,337",9
"Warsaw, IN","74,057","77,358","3,301",4.5
"Washington, IN","29,820","31,648","1,828",6.1
"Washington, NC","44,958","47,759","2,801",6.2
"Washington Court House, OH","28,433","29,030",597,2.1
"Watertown, SD","25,897","27,227","1,330",5.1
"Watertown-Fort Atkinson, WI","74,021","83,686","9,665",13.1
"Wauchula, FL","26,938","27,731",793,2.9
"Waycross, GA","51,119","55,070","3,951",7.7
"Weatherford, OK","26,142","27,469","1,327",5.1
"West Plains, MO","37,238","40,400","3,162",8.5
"Whitewater-Elkhorn, WI","93,759","102,228","8,469",9
"Williston, ND","19,761","22,398","2,637",13.3
"Willmar, MN","41,203","42,239","1,036",2.5
"Wilmington, OH","40,543","42,040","1,497",3.7
"Wilson, NC","73,814","81,234","7,420",10.1
"Winnemucca, NV","16,106","16,528",422,2.6
"Winona, MN","49,985","51,461","1,476",3
"Wisconsin Rapids-Marshfield, WI","75,555","74,749",-806,-1.1
"Woodward, OK","18,486","20,081","1,595",8.6
"Wooster, OH","111,564","114,520","2,956",2.6
"Worthington, MN","20,832","21,378",546,2.6
"Yankton, SD","21,652","22,438",786,3.6
"Zanesville, OH","84,585","86,074","1,489",1.8
"Zapata, TX","12,182","14,018","1,836",15.1
"Aguadilla-Isabela, PR","347,938","339,441","-8,497",-2.4
"Arecibo, PR","199,750","199,471",-279,-0.1
"Guayama, PR","83,570","84,214",644,0.8
"Mayagí_ez, PR","115,048","106,330","-8,718",-7.6
"Ponce, PR","382,982","350,480","-32,502",-8.5
"San Germíçn, PR","136,212","137,462","1,250",0.9
"San Juan-Carolina-Caguas, PR","2,387,790","2,350,126","-37,664",-1.6
"Adjuntas, PR","19,143","19,483",340,1.8
"Coamo, PR","37,597","40,512","2,915",7.8
"Coco, PR","31,113","31,078",-35,-0.1
"Jayuya, PR","17,318","16,642",-676,-3.9
"Santa Isabel, PR","21,665","23,274","1,609",7.4
